Original_Image,Format,Quality_Level,Category,Encoding_Time_sec,VMAF,Compressed_Size_Bytes,Baseline_PNG_Bytes,Storage_Saved_%,Y_MSE,Y_PSNR,Y_SSIM_w7,Y_SSIM_w11,Y_SSIM_w21,Cb_MSE,Cb_PSNR,Cb_SSIM_w7,Cb_SSIM_w11,Cb_SSIM_w21,Cr_MSE,Cr_PSNR,Cr_SSIM_w7,Cr_SSIM_w11,Cr_SSIM_w21
DOC08,WEBP,1,Document,2.6919351999968057,88.847573,317008.0,1434120.0,77.9,29.08276,33.494447221105226,0.9832820991693382,0.9909109279373234,0.9940923915847272,4.424288,41.67237004998224,0.9882947892034828,0.9871202914386537,0.9870637734200411,1.4598192,46.48781291820815,0.9959113370310332,0.9946794580495188,0.9930951594554822
DOC09,AVIF,1,Document,2.026034199996502,88.509543,142406.0,1212418.0,88.25,50.50098,31.09780548047915,0.981954524792252,0.990348523357404,0.9943165236570808,0.2277501,54.55621799380326,0.9998132754776498,0.9997811804506777,0.9996730395461968,0.18444157,55.47221565920352,0.9997084446263328,0.9997813337622604,0.9997394958377248
DOC09,HEIC,1,Document,1.6577045000012731,84.663972,144098.0,1212418.0,88.11,69.84896,29.68920411000338,0.9789169494914,0.9877235473081076,0.992695569925578,0.23576301,54.40604693915199,0.9998172729162614,0.9998010591770988,0.999729177394239,0.33712587,52.85288288001529,0.9994794843372062,0.9996565534004072,0.9996336299064792
DOC09,JPEG,1,Document,0.1272188000002643,76.717415,411105.0,1212418.0,66.09,108.501,27.77646613051171,0.9557471927895264,0.9696947313749128,0.9812731497667392,0.66222477,49.920749311025205,0.9992906116336931,0.9992709111866256,0.999222587712554,0.59864664,50.35909798456608,0.9991349240946809,0.9992857905482864,0.999223378826641
DOC09,WEBP,1,Document,5.586173400006373,89.409241,284306.0,1212418.0,76.55,25.392551,34.083740132294565,0.9861417919874454,0.9933776050053926,0.996283315657972,0.23166679,54.48216593237932,0.9997814174788624,0.9997608898559284,0.9996702263809378,0.46844146,51.42425056157136,0.9993202579841756,0.9994834910090652,0.9994622415185128
DOC10,AVIF,1,Document,2.112928300004569,85.500781,141620.0,1407243.0,89.94,72.80371,29.50926848053799,0.9856559724322648,0.9892135674953344,0.99228575442304,0.0,inf,1.0,1.0,1.0,0.0,inf,1.0,1.0,1.0
DOC10,HEIC,1,Document,1.647408799995901,80.14432,184323.0,1407243.0,86.9,101.74513,28.05566727159437,0.9829677584659112,0.9868703427734702,0.99034582413007,0.0,inf,1.0,1.0,1.0,0.0,inf,1.0,1.0,1.0
DOC10,JPEG,1,Document,0.1323353000043425,71.691839,410925.0,1407243.0,70.8,136.63733,26.775109926240237,0.959473416025875,0.9677239008647452,0.977793373871136,0.0,inf,1.0,1.0,1.0,0.0,inf,1.0,1.0,1.0
DOC10,WEBP,1,Document,5.98274420000962,87.629082,365318.0,1407243.0,74.04,33.923462,32.825801860102374,0.990286169157796,0.9932084103620475,0.995623679042834,0.0,inf,1.0,1.0,1.0,0.0,inf,1.0,1.0,1.0
DOC11,AVIF,1,Document,1.2108288000017635,74.074394,84267.0,11383508.0,99.26,27.91895,33.67181279483206,0.9679600955326442,0.97221675394648,0.976066359069779,4.771789,41.343991354827125,0.9858105993027836,0.9846609428108716,0.9830473668521128,0.77063847,49.2622966946717,0.9978609142547168,0.9971182611420596,0.995927605881608
DOC11,HEIC,1,Document,2.8832124000036856,65.779463,62624.0,11383508.0,99.45,35.00649,32.68931819202154,0.95984921525053,0.9636526957378768,0.9679964850593286,6.924265,39.72706692056282,0.980369144488421,0.978556778793514,0.9761221355190194,0.5940565,50.39252623075298,0.997919781379862,0.9972161098896676,0.9961203261294824
DOC11,JPEG,1,Document,0.3609713999903761,45.821474,253896.0,11383508.0,97.77,64.20481,30.055127996557708,0.9345240505469224,0.937618950566228,0.939959931168364,19.6853,35.18938298010455,0.9598688529589272,0.9468443550292692,0.9254449758101726,0.46006525,51.502609100160576,0.9982135785346002,0.99758149122243,0.9965645374990432
DOC11,WEBP,1,Document,6.125434900008258,78.673837,192170.0,11383508.0,98.31,20.327494,35.049965406154065,0.9676884031976096,0.9712790460968048,0.974554057625064,7.7041416,39.26356114594433,0.9756245469618376,0.971069272285334,0.9657984539322952,0.780686,49.20603942214494,0.9968147615642996,0.9955119032624554,0.9932674545413764
DOC12,AVIF,1,Document,1.294760100005078,74.175507,91646.0,11705546.0,99.22,31.327272,33.1715778127459,0.9664384110951136,0.9716415664040444,0.975963667006966,5.107797,41.04846727197796,0.984219255926697,0.9830290965017,0.9818425399071444,0.7352235,49.46661010261938,0.9975481811020244,0.9966501442923386,0.9952680543214528
DOC12,HEIC,1,Document,2.798326000003726,66.246745,68840.0,11705546.0,99.41,39.61596,32.152101721477344,0.9577506377368284,0.9626724067269702,0.9678605517047228,7.974119,39.11397649122616,0.9777881667875716,0.9756076465793324,0.9731375972590312,0.6223518,50.19044399929136,0.9976394162422112,0.996801266245618,0.9955373116445992
DOC12,JPEG,1,Document,0.3547978999995393,46.100475,258419.0,11705546.0,97.79,69.655655,29.701239766595563,0.9312167140909547,0.9356744997170902,0.939837412706214,21.713959,34.76341348281323,0.9574236461082434,0.9439466328654472,0.9219096852633214,0.5641064,50.61719324912488,0.9979052433413036,0.997110364747697,0.995840017055711
DOC12,WEBP,1,Document,6.428261799999746,77.94001,201568.0,11705546.0,98.28,23.725697,34.37861375997428,0.9649724139645032,0.9696948088786972,0.9736440398297308,8.2368765,38.97317806206706,0.9741536354345074,0.9696921007062992,0.9651310335174366,0.46699202,51.4377088618264,0.9971859361217592,0.996247671244594,0.9948358090259816
DOC13,AVIF,1,Document,3.182082899991656,72.857492,100932.0,12262582.0,99.18,42.45876,31.85113054896261,0.9664149673032334,0.9718786164237254,0.9762491436431204,6.150399,40.24177051978664,0.9824945471552504,0.9814951882786144,0.9802421704052904,0.84126896,48.881454755437126,0.9972721820322912,0.9962221957186544,0.9945290027735318
DOC13,HEIC,1,Document,9.370524600002682,65.688316,78439.0,12262582.0,99.36,51.454464,31.016573091709432,0.9587214774312688,0.964410707150976,0.9697943060706872,9.2893915,38.450931020676194,0.9753198386844648,0.9738611136689572,0.9721984836940366,0.68242943,49.79022615463171,0.9973892535060658,0.9964346173011528,0.9949379978996962
DOC13,JPEG,1,Document,0.3589224000024842,46.137679,271830.0,12262582.0,97.78,83.486176,28.914657903608123,0.9353052603432322,0.9407221929528456,0.9446010986474652,24.703184,34.20327416323427,0.9522982797529186,0.9387425168335832,0.916694429757697,0.7052028,49.64766320852345,0.9975087584007006,0.9965582395725312,0.9949858995245012
DOC13,WEBP,1,Document,13.768386900002952,78.017655,226708.0,12262582.0,98.15,27.366987,33.75853353124264,0.9690993421022474,0.9737731476585528,0.9775528735346396,9.602714,38.30686385977533,0.9716218664356608,0.9673290396515156,0.9626176897091078,0.56944835,50.57626022754835,0.9968310355637716,0.9956867159276916,0.9938973503403412
DOC14,AVIF,1,Document,3.334313499988639,73.711861,84566.0,11307506.0,99.25,32.750652,32.978604125080395,0.9674818908635864,0.9724893677907266,0.9770475675544108,4.91503,41.215542020976336,0.985127482916068,0.98389979231013,0.9825170929458876,0.67680126,49.82619186578295,0.9978418142356864,0.9971252124588258,0.9960024453819034
DOC14,HEIC,1,Document,12.720552700004191,66.912955,65426.0,11307506.0,99.42,40.41143,32.065761423427986,0.9596721917068418,0.9644885368495442,0.9697108773069896,7.504101,39.37781684337001,0.978922844121736,0.9769993803679392,0.9744310033976522,0.5609522,50.64154508866011,0.9978908368520036,0.997200724252688,0.9961436851382018
DOC14,JPEG,1,Document,0.3508866999909514,46.988693,263254.0,11307506.0,97.67,68.53329,29.77178805183552,0.9370105894943024,0.941202576468802,0.9447083220641236,20.807795,34.94854296745359,0.9587618757448724,0.9455042987873624,0.923647767721008,0.45176584,51.58166977876733,0.998148454850295,0.997505446280078,0.996468408396866
DOC14,WEBP,1,Document,11.329232100004448,78.532713,199366.0,11307506.0,98.24,22.268087,34.653974483361075,0.9682612947092292,0.972660403863761,0.976720963413742,7.94792,39.12826869590041,0.9751831773898522,0.9706024535273724,0.9653148913959176,0.774895,49.23837496394108,0.9966986238038548,0.9953457240817276,0.9930412368010456
DOC15,AVIF,1,Document,5.211541900003795,77.556883,55753.0,8958264.0,99.38,11.31629,37.59376287156599,0.97417161955494,0.9773098076991482,0.980555472129219,2.3350248,44.44788862619027,0.9910869976453291,0.9899788484058494,0.9886435603047824,0.48996913,51.229116258373146,0.9989046627773271,0.9986818656855057,0.9983039670052968
DOC15,HEIC,1,Document,11.517182499999764,69.091377,40556.0,8958264.0,99.55,15.6661415,36.181183000712,0.9672329657889877,0.9700410665016174,0.9739101935075976,3.088501,43.23332604175717,0.9880049100855456,0.9866008697660488,0.9847838144561856,0.3592602,52.57671264083896,0.9988553723416116,0.9986227456680298,0.9982816804310638
DOC15,JPEG,1,Document,0.3439322000049287,39.74871,232641.0,8958264.0,97.4,42.624367,31.8342242900158,0.9421995586057292,0.9442605589258496,0.9459375752732168,14.736162,36.446959639245,0.9694081873441008,0.9559916059327174,0.932957828613642,0.0749513,59.38301209581046,0.9994332964366796,0.9993311370157646,0.9991837312928784
DOC15,WEBP,1,Document,9.384774200007088,77.893958,140404.0,8958264.0,98.43,12.89194,37.02762086850992,0.9691460299404728,0.9725565599312253,0.9759811167164548,4.8974385,41.23111358985245,0.9811884555412648,0.9768348932034236,0.9717219172713634,0.5643405,50.61539149085672,0.9978506902781406,0.9969888316863628,0.9954074698061612
DSC00001,AVIF,1,Smooth,1.1143912999978056,95.982362,728164.0,17725598.0,95.89,0.76529884,49.29249286221997,0.9925780628803864,0.992118733171386,0.9916920360792356,0.90078527,48.58459087465288,0.9932874089543112,0.992760832991406,0.9921830491776328,0.96085376,48.30423050310519,0.9912976001380236,0.9906923684779196,0.9901118718132468
DSC00001,AVIF,2,Smooth,1.64416749999873,95.731346,2149788.0,17725598.0,87.87,0.724726,49.5290650904129,0.991772135017269,0.9914247213578644,0.9912011797543824,0.8599175,48.78623571344012,0.9931642775151998,0.9927212356703368,0.9923111462144792,0.9143066,48.51988503870408,0.9911847213522804,0.9907025359801042,0.990316415747163
DSC00001,AVIF,3,Smooth,2.1972273999999743,96.637201,4713166.0,17725598.0,73.41,0.5721411,50.5557720207404,0.9936523179746172,0.9933686470571688,0.9931681267701042,0.82400435,48.97150875839443,0.9935342135393382,0.9932418232049048,0.9929497665963756,0.85934466,48.789129726058334,0.99184138335953,0.9915480770170167,0.9913017359325188
DSC00001,HEIC,1,Smooth,4.019552900001145,95.813826,828938.0,17725598.0,95.32,0.73285013,49.48065204537279,0.992843964970332,0.99259126542248,0.9923636197646828,0.85083836,48.83233316409179,0.9921725992701876,0.9916662630260304,0.9911218410882134,0.91339594,48.52421280617881,0.9904639120409006,0.989865464953626,0.9892818241852296
DSC00001,HEIC,2,Smooth,6.354327900000499,96.003793,1771970.0,17725598.0,90.0,0.64667815,50.023921641717706,0.9931537568752794,0.992910719235277,0.9927216952278324,0.7833866,49.19104213030109,0.9925055236202884,0.9920672783809642,0.991599848086851,0.834912,48.91439665943665,0.99081533138555,0.9903234322090584,0.9898465430962166
DSC00001,HEIC,3,Smooth,11.092230700000073,96.549128,4587165.0,17725598.0,74.12,0.54669803,50.75332840670014,0.9935246178258458,0.9933686693851328,0.9932989852761628,0.73128366,49.48994493581022,0.9922135837795124,0.9919453422086084,0.9916820442450228,0.755866,49.34635566916224,0.9908567829371282,0.9905925620066776,0.9903547759900584
DSC00001,JPEG,1,Smooth,0.1340665000025183,93.57718,758681.0,17725598.0,95.72,1.1878908,47.38303863334626,0.9907017945954686,0.990068995959519,0.9893717343562936,1.172222,47.440704908259306,0.990735708856954,0.9898937139628992,0.9888347315627276,1.1797782,47.41279999948989,0.989145803163424,0.9882669978874236,0.9873593767011128
DSC00001,JPEG,2,Smooth,0.0499046000004455,95.748744,1739973.0,17725598.0,90.18,0.7107451,49.61366507176579,0.992337788629892,0.992059542334131,0.9918505072052588,0.70826197,49.62886439606236,0.9928987611482948,0.9924333511633951,0.991888136341508,0.8037118,49.07980017221189,0.9911198292131096,0.9906338810518444,0.9901243492236518
DSC00001,JPEG,3,Smooth,0.0672264999993785,96.124063,4162592.0,17725598.0,76.52,0.5987946,50.35802487284354,0.9928208303089882,0.9926072852047012,0.9924923732834332,0.6127178,50.25819845305787,0.9933733543068458,0.9929740422815942,0.9925493422880128,0.67786974,49.81934106953834,0.9918159813419536,0.9914698833992772,0.9911378100155722
DSC00001,WEBP,1,Smooth,5.521076400000311,95.308831,704454.0,17725598.0,96.03,0.79519993,49.1260403906937,0.9924147854265004,0.99224664424009,0.992195963779204,0.6729145,49.851204766931616,0.9929195494377776,0.992306726157422,0.9918507837290534,0.7831982,49.19208679938809,0.990937307827216,0.9902075157350644,0.9897704960803028
DSC00001,WEBP,2,Smooth,7.698173700002371,95.87857,1725054.0,17725598.0,90.27,0.57130545,50.56211993306626,0.99341287311418,0.9932441505547506,0.9931893074667588,0.60435265,50.31789914023693,0.9936800719439984,0.993261162762156,0.9928574327353228,0.670766,49.86509315388653,0.991920042032834,0.9914915414356832,0.9911531301243336
DSC00001,WEBP,3,Smooth,3.498709900002723,95.993773,1777934.0,17725598.0,89.97,0.5604666,50.64530638557812,0.9934469797532468,0.9932663880599149,0.9932026272207428,0.63513184,50.10216483973102,0.993293895612838,0.9928833754849964,0.9925071728689536,0.70242137,49.66482652111155,0.9915120599705164,0.9910891382846564,0.9907766694808378
DSC00007,AVIF,1,Macro,0.9101569000013114,96.625894,728221.0,27945907.0,97.39,1.1691728,47.45201672126332,0.98544959695587,0.9859238803309794,0.9872446533909156,1.227573,47.24033015476722,0.9860271703118374,0.9852637821695104,0.9849186711854128,1.378307,46.73734419874642,0.983838814502556,0.9830400607423726,0.9827571031981904
DSC00007,AVIF,2,Macro,1.0758484999969369,96.817814,1698516.0,27945907.0,93.92,1.007378,48.09887915326341,0.9868592906581368,0.9873442355882124,0.9885307052346376,1.152987,47.512559424371645,0.9864840127163256,0.9858948276770012,0.9856488366475002,1.279183,47.06147676765782,0.9844099131495844,0.9838182347096754,0.9836417642796093
DSC00007,AVIF,3,Macro,1.9605473000010527,96.883904,4792774.0,27945907.0,82.85,0.73694843,49.45643274123874,0.9899036768871496,0.9903280618592546,0.991256611591192,1.0099736,48.08770313386917,0.9878509253216554,0.9875812797003936,0.9875443756941464,1.0871898,47.767749937068864,0.986221790788259,0.9860312032953502,0.986105020529876
DSC00007,HEIC,1,Macro,3.4588306000005105,96.117668,693836.0,27945907.0,97.52,1.1702532,47.44800524873396,0.9863503275747628,0.9870431896188042,0.9884681258340317,1.26179,47.12093260577235,0.9847640003838288,0.9837191251050456,0.9831629026435816,1.4701594,46.457159421260144,0.982443183984714,0.9814309986406228,0.9810017261074068
DSC00007,HEIC,2,Macro,8.746523199999501,96.49884,1689383.0,27945907.0,93.95,0.9756608,48.23781521530484,0.9881306853733218,0.988745457011729,0.9900139449605418,1.1329671,47.5886306462572,0.9852611644889,0.9845630441600584,0.9842884590105744,1.2903982,47.02356612845833,0.9832396683427862,0.9826662251131204,0.9825664293716796
DSC00007,HEIC,3,Macro,9.770986599996832,96.779774,4347289.0,27945907.0,84.44,0.7541805,49.35605067111147,0.9903936867973218,0.9909412502453346,0.9920067250695302,0.971965,48.25429718615682,0.9863595355257164,0.9860732793157896,0.9860753063487028,1.092084,47.74824301639279,0.9848567708398344,0.9847299917508706,0.9849036479383244
DSC00007,JPEG,1,Macro,0.0738687999983085,91.846828,758619.0,27945907.0,97.29,2.2630503,44.58386139028562,0.9784970898607196,0.9788122368263146,0.9803742525065262,1.8842657,45.37938224512918,0.9813893031947252,0.9792814661775,0.9777558440524918,2.1160383,44.875568188538566,0.9784650937971696,0.976411026417244,0.9751540400499484
DSC00007,JPEG,2,Macro,0.0907301999977789,96.359336,1718780.0,27945907.0,93.85,1.1179459,47.64659574111391,0.9860305439453624,0.9866099490026452,0.9878668428895476,1.1809736,47.40840150868699,0.9848908004415442,0.984145234360476,0.983774112667739,1.342029,46.85318466057553,0.9828614231323392,0.9821354094312992,0.9818278332642972
DSC00007,JPEG,3,Macro,0.1088224000013724,96.808918,4161218.0,27945907.0,85.11,0.8632808,48.76928284649425,0.9884380755276856,0.988976613464058,0.9900806105033544,0.9543874,48.33355669458611,0.9862709222111484,0.986026337642638,0.9860508573951922,1.0646963,47.858546147832506,0.984554978152302,0.9844042376212442,0.9845609325386856
DSC00007,WEBP,1,Macro,4.293369300001359,95.888286,753342.0,27945907.0,97.3,1.2441496,47.18207773750999,0.9850095953385812,0.98569031792381,0.9872387386176812,1.1175679,47.64806431926389,0.9852280505993348,0.984171214524634,0.983757296689112,1.2442107,47.18186415133162,0.983857762929754,0.9828913278921924,0.982655187373208
DSC00007,WEBP,2,Macro,4.91014179999911,96.440098,1747822.0,27945907.0,93.75,1.0205666,48.04239024854694,0.9864529073712724,0.9871164133194928,0.9885081511448603,0.99218285,48.16488628221961,0.9858948579232087,0.9853420682328916,0.9851667653322718,1.0676638,47.84645844639957,0.9849943330144424,0.9845463104679744,0.9845192347862296
